CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
251225,5,40,64,924.26,1.69,1,105.5
251215,8,44,25,1569.37,2.87,1,83.9
251225,8,40,45,1045.2,1.91,1,207.9
251220,9,44,27,3606.12,6.62,1,12.8
251215,9,44,52,2175.27,3.99,1,21.9
251215,9,11,46,337.28,0.61,1,10.9
251230,9,44,26,1500,2.75,1,2.5
251215,9,44,25,2590,4.75,1,3.1
251215,9,44,26,2494.01,4.57,1,40.9
251215,9,44,41,3955.22,7.26,1,19.9
251215,9,44,39,847.5,1.55,1,25.9
251225,9,44,23,1700,3.11,1,3.3
251225,9,44,34,975.83,1.78,1,16.9
251215,9,44,38,650,1.19,1,4.5
251215,9,44,37,3598.11,6.6,1,71.9
251215,9,44,32,3426.02,6.29,1,71.9
251215,9,44,51,6736.59,12.37,1,71.9
251220,9,44,38,4707.25,8.64,1,71.9
251215,9,44,31,4294,7.88,1,71.9
251220,9,44,39,3778.43,6.93,1,71.9
251215,9,44,37,4565.09,8.38,1,13.2
251215,9,44,45,5524.9,10.14,1,71.9
251215,9,44,42,4267.34,7.83,1,71.9
251220,9,44,45,5367.23,9.85,1,28.9
251215,9,44,30,4358.16,8,1,71.9
251215,9,44,47,3395.79,6.23,1,71.9
251215,9,44,33,3912.4,7.17,1,1.9
251220,9,44,47,4723.79,8.67,1,44.4
251215,9,44,39,4496.18,8.25,1,71.9
251220,9,44,35,4327.11,7.94,1,21.7
251215,9,44,26,3504.71,6.43,1,71.9
251215,9,44,24,3153.18,5.78,1,71.9
251215,9,44,37,4394.45,8.07,1,71.9
251215,9,44,27,3760.34,6.9,1,15.7
251215,9,44,24,2857.38,5.23,1,7.6
251220,9,44,46,3402.16,6.24,1,71.9
251215,9,44,38,3017.73,5.53,1,71.9
251215,9,44,34,5207.38,9.56,1,71.9
251215,9,44,33,3437.61,6.31,1,71.9
251215,9,44,52,1344.5,2.46,1,18.9
251215,9,44,39,3134.78,5.75,1,32.9
251215,9,44,38,3076.8,5.64,1,18.4
251205,9,44,48,2317.03,4.26,1,79.9
251205,9,40,61,16378.42,30.09,1,326.9
251215,9,44,25,1250,2.29,1,3.9
251225,9,44,28,3865.8,7.09,1,71.9
251215,9,44,39,3160.13,5.8,1,231.9
251215,9,44,37,5194.98,9.54,1,71.6
251205,9,40,60,14630.65,26.88,1,412.6
251205,9,40,55,15588.89,28.64,1,406.9
251205,9,40,33,4904.7,9,1,63.6
251205,9,40,51,11872.94,21.81,1,354.9
251205,9,40,64,10237.85,18.8,1,387.9
251205,9,40,31,3606.59,6.62,1,63.8
251205,9,40,29,3873,7.11,1,50.9
251205,9,40,52,15422.69,28.33,1,388.4
251205,9,40,27,4866.45,8.93,1,51.6
251205,9,40,49,9591.65,17.61,1,307.5
251205,9,40,47,14663.07,26.93,1,307.5
251205,9,40,32,5836.99,10.72,1,63.8
251205,9,40,47,25735.55,47.21,1,5.1
251205,9,40,46,7934.17,14.57,1,284.8
251205,9,40,45,8396.28,15.42,1,279.7
251205,9,40,53,10058.45,18.47,1,318.9
251205,9,40,53,9066.96,16.65,1,307.5
251205,9,40,47,12614.25,23.17,1,307.5
251205,9,40,39,4445.68,8.16,1,83.8
251205,9,40,39,5747.68,10.55,1,63.8
251205,9,40,56,17716.88,32.55,1,364.6
251205,9,40,51,18589,34.15,1,358.9
251205,9,40,56,13925.75,25.59,1,455.7
251205,9,40,55,14292.03,26.27,1,415.9
251205,9,40,38,5915.8,10.86,1,64.9
251205,9,40,51,9315.26,17.11,1,352.6
251205,9,40,35,5586.11,10.25,1,64.9
251215,9,44,40,2650.4,4.85,1,9.9
251225,9,44,25,1221.92,2.23,1,40.7
251215,9,44,27,2102.06,3.85,1,39.5
251215,9,44,29,1247.33,2.28,1,14.8
251225,9,44,35,2280.01,4.18,1,42.4
251215,9,44,33,2378.25,4.36,1,44.2
251215,9,44,29,3904.34,7.15,1,6.9
251215,9,44,35,2500,4.58,1,1.9
251225,9,40,25,2636.05,4.83,1,8.8
251205,9,40,25,5219.16,9.58,1,11.9
251205,9,40,28,6181.74,11.33,1,22.6
251215,9,44,32,1000,1.83,1,5.9
251215,9,44,46,1878.43,3.44,1,14.8
251215,9,44,24,1489,2.73,1,1.7
251225,9,44,38,6900,12.65,1,7.8
251225,9,44,41,8466.87,15.52,1,7.9
251205,9,40,50,13138.57,24.14,1,18.9
251215,9,40,27,5105.1,9.37,1,39.9
251215,9,44,44,4081.38,7.49,1,134.9
251215,9,40,58,3713.27,6.82,1,304.1
251215,9,40,54,6781.59,12.45,1,394.3
251205,9,44,53,13659.36,25.1,1,348.5
251205,9,44,57,17494.86,32.14,1,383.9
251205,9,44,55,13059.1,23.99,1,376.9
251205,9,44,47,6826.55,12.53,1,99.7
251205,9,40,54,11454.74,21.04,1,359.6
251215,9,44,28,2455.81,4.5,1,22.9
251225,9,44,24,1518.66,2.78,1,0.9
251225,9,44,27,1694.43,3.1,1,0.9
251225,9,44,34,3038.65,5.57,1,0.9
251215,9,44,27,2257.03,4.14,1,20.6
251215,9,44,27,2166.36,3.97,1,22.7
251215,9,44,54,2260.29,4.14,1,45.9
251215,9,44,33,4277.01,7.85,1,42.4
251215,9,44,27,2020.32,3.7,1,23.4
251215,9,44,23,1822.08,3.34,1,15.5
251215,9,44,23,2712.57,4.98,1,23.5
251220,9,44,31,5790.77,10.63,1,131.9
251215,9,44,27,2774.97,5.09,1,29.8
251215,9,42,57,4394.97,8.07,1,277.9
251215,9,44,49,7128.07,13.09,1,305.3
251220,9,44,39,7304.79,13.42,1,80.8
251215,9,44,41,2620.55,4.81,1,11.8
251215,9,44,33,8614.39,15.82,1,226.9
251215,9,40,29,5043.26,9.26,1,44.5
251215,9,44,29,5976.69,10.97,1,68.4
251225,9,44,28,4937.6,9.06,1,53.9
251215,9,44,27,6666.95,12.24,1,67.9
251215,9,42,25,2651.21,4.86,1,11.4
251220,9,44,38,8033.63,14.75,1,237.4
251215,9,43,52,7896.05,14.51,1,452.9
251215,9,44,51,6674.46,12.25,1,109.8
251215,9,44,31,7663.71,14.07,1,185.7
251215,9,44,38,5746.05,10.55,1,138.8
251215,9,44,27,3253.2,5.97,1,16.9
251230,9,44,38,2770.79,5.08,1,72.6
251225,9,44,45,3412.01,6.26,1,323.6
251215,9,44,33,3680.25,6.74,1,7.9
251225,9,44,29,2535.21,4.65,1,69.5
251215,9,44,31,1317.33,2.41,1,4.9
251215,9,44,51,3943.98,7.24,1,178.9
251215,9,44,34,1500,2.75,1,2.4
251220,9,44,22,3751.58,6.88,1,73.4
251220,9,44,19,1201.26,2.2,1,30.5
251225,9,40,55,6923.98,12.73,1,448.7
251225,9,40,59,7332.59,13.47,1,390.9
251205,9,44,32,2287.12,4.19,1,18.9
251215,9,44,48,4561.67,8.37,1,1.9
251215,9,44,46,6122.88,11.24,1,328.9
251215,9,44,44,4196.97,7.7,1,230.1
251215,9,44,29,5204.31,9.56,1,11.6
251215,9,44,38,3938.61,7.23,1,274.9
251205,9,44,64,544.16,1,1,131.9
251215,9,44,28,3822.61,7.02,1,11.9
251215,9,44,53,3742.36,6.87,1,14.8
251215,9,44,29,2396.09,4.39,1,7.1
251215,9,44,32,2229.85,4.09,1,128.9
251215,9,44,25,1435.22,2.63,1,18.7
251215,9,44,34,1506.83,2.76,1,57.9
