CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
214205,3,44,41,3392,6.22,1,35.9
214205,5,20,37,3148.47,5.77,1,37.9
214205,5,44,24,2713.56,4.97,1,72.9
214205,5,44,35,1759.67,3.22,1,19.1
214205,5,44,41,1924.12,3.52,1,1.9
214205,6,44,41,2454.57,4.5,1,2.9
214205,7,44,23,1479.67,2.71,1,14.9
214205,7,44,36,5828.97,10.69,1,0.3
214205,7,30,27,3270,6,1,5.9
214205,7,10,48,1090,2,1,7.9
214205,7,44,28,1475.77,2.7,1,32.5
214205,7,44,33,3300,6.05,1,9.9
214205,7,44,47,3270,6,1,7.9
214205,7,40,48,6500,11.92,1,6.7
214205,7,22,33,3500,6.42,1,6.5
214205,7,22,36,3270,6,1,0.8
214205,7,40,28,5071.52,9.31,1,36.9
214205,7,44,31,5997.73,11.01,1,131.9
214205,7,30,23,3593.91,6.6,1,35.9
214205,7,35,61,4043.63,7.42,1,70.8
214205,7,36,26,3328.55,6.11,1,28.9
214205,7,44,23,1200,2.2,1,6.9
214205,7,44,32,4725.66,8.68,1,92.6
214205,7,44,43,4710.99,8.66,1,140.9
214205,7,44,32,5165.54,9.47,1,92.6
214205,7,44,43,5033.58,9.23,1,140.9
214205,7,20,35,3299.72,6.05,1,10.9
214205,7,44,23,3731.44,6.85,1,17.9
214205,7,20,46,1259.08,2.3,1,10.5
214205,7,44,40,2185.14,4.01,1,74.9
214205,7,44,42,2875.93,5.32,1,15.5
214205,7,44,26,1916.1,3.51,1,31
214205,7,44,31,1990.49,3.65,1,10.2
214205,7,44,42,2376.08,4.4,1,15.5
214205,7,44,26,2990.11,5.48,1,31
214205,7,44,31,2031.21,3.72,1,10.2
214205,7,44,26,348.38,0.63,1,31
214205,7,44,42,1920.88,3.51,1,15.5
214205,7,44,24,2191.13,4.02,1,16.9
214205,7,44,31,1372.66,2.51,1,10.2
214205,7,44,42,2235.97,4.1,1,15.5
214205,7,44,37,4717,8.66,1,13.4
214205,7,44,30,4990.09,9.15,1,5.9
214205,7,20,50,3270,6,1,6.9
214205,8,40,22,753.38,1.37,1,5.8
214205,8,44,22,806.66,1.47,1,12.8
214205,8,44,24,1150,2.11,1,31.6
214205,8,44,25,2649.07,4.85,1,7.6
214205,8,44,28,1989.11,3.65,1,12.3
214205,8,44,24,3252.3,5.96,1,91.8
214205,8,44,23,3199.58,5.87,1,11.7
214205,8,44,25,4156.62,7.63,1,43.8
214205,8,44,25,2807.4,5.15,1,28.2
214205,8,40,24,1929.26,3.53,1,30.4
214205,8,40,24,3628.32,6.65,1,6.9
214205,8,30,32,3717.33,6.81,1,8.9
214205,8,44,26,5480.8,10.06,1,33.6
214205,8,30,23,3324.5,6.1,1,5.9
