CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
225125,9,20,32,4000,7.33,1,0.9
225125,9,44,50,1053.16,1.93,1,67.9
225125,9,40,61,4820.41,8.84,1,8.4
225125,9,3,28,1667.34,3.05,1,21.9
225125,9,37,34,11323.76,20.79,1,12.8
225125,9,22,37,5693.4,10.45,1,69.4
225125,9,10,34,2859.71,5.25,1,12.8
225125,9,21,40,7528.88,13.82,1,64.3
225125,9,44,76,2078.38,3.81,1,22.9
225125,9,10,68,2853.03,5.24,1,49.1
225125,9,6,45,1834.96,3.36,1,14.4
225125,9,10,28,4393.14,8.05,1,2.9
225125,9,21,33,5616.06,10.3,1,10.7
225125,9,15,50,4382.52,8.04,1,48.9
225125,9,6,40,2028.66,3.72,1,49.1
225125,9,24,25,1500,2.75,1,2.9
225125,9,24,46,8584.01,15.77,1,56.6
225125,9,44,28,7711.26,14.14,1,9.9
225125,9,44,30,7315.88,13.43,1,23.8
225125,9,44,62,10403.16,19.1,1,285.9
225125,9,22,34,5296.68,9.71,1,9.9
225125,9,22,28,6367.62,11.69,1,21.4
225125,9,12,27,2116.86,3.87,1,7.9
225125,9,40,45,11386.33,20.91,1,93.4
225125,9,44,27,12842.44,23.55,1,6.9
225125,9,40,48,11824.09,21.71,1,55.7
225125,9,22,47,4932.23,9.05,1,55.9
225125,9,11,47,2698.36,4.95,1,213.7
225125,9,11,39,2378.76,4.36,1,106.6
225125,9,44,41,13823.01,25.39,1,51.9
225125,9,44,48,10836.61,19.9,1,93.8
225125,9,22,41,4571.93,8.39,1,112.9
225125,9,44,36,10821.37,19.88,1,34.7
225125,9,11,54,4907.56,9.01,1,112.9
225125,9,22,66,6455.42,11.85,1,111.2
225125,9,22,66,6905.01,12.67,1,253.9
225125,9,11,45,3268.73,6,1,161.4
225125,9,40,49,10980.95,20.17,1,54.5
225125,9,40,55,11937.88,21.93,1,165.9
225125,9,40,42,9361.96,17.19,1,115.9
225125,9,40,54,9935.16,18.25,1,259.5
225125,9,10,33,3207.92,5.88,1,24.9
225125,9,40,54,3293.9,6.09,1,273.5
225125,9,40,47,12316.58,22.62,1,202.2
225125,9,20,56,6072.56,11.15,1,202.8
225125,9,20,40,6864.65,12.61,1,15.9
225125,9,10,55,2797.66,5.13,1,164.9
225125,9,22,26,758.92,1.38,1,2.9
225125,9,40,60,8239.05,15.11,1,1.7
225125,9,20,64,5937.9,10.9,1,303.9
225125,9,20,36,4252.91,7.8,1,61.9
225125,9,40,28,9200.04,16.87,1,1.7
225125,9,20,59,5315.17,9.75,1,227.1
225125,9,20,49,4534.56,8.32,1,112.9
225125,9,20,44,5067.52,9.3,1,191.7
225125,9,20,37,4081.65,7.48,1,9.4
225125,9,44,32,9738.62,17.86,1,9.9
225125,9,20,57,9967.74,18.31,1,117.9
225125,9,40,60,10771,19.78,1,11.2
225125,9,20,44,5240.16,9.62,1,38.9
225125,9,40,51,13213.27,24.27,1,263.7
