CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
514205,1,44,39,980.64,1.79,1,1.7
514225,1,44,53,1556.89,2.85,1,58.3
514225,1,40,53,576.37,1.06,1,153.5
514225,1,44,62,794.84,1.45,1,294.2
514225,1,44,50,845.88,1.55,1,37.9
514215,1,40,66,882.22,1.61,1,173.8
514215,1,40,58,826.74,1.51,1,156.4
514215,1,40,58,943.62,1.73,1,148.9
514215,1,40,54,1184.49,2.17,1,173.8
514215,1,40,61,899.64,1.64,1,5.8
514215,1,40,53,1321.51,2.42,1,173.8
514225,1,44,59,584.63,1.07,1,33.9
514215,1,40,45,821.21,1.5,1,156.2
514215,1,40,63,1090.06,1.99,1,193.3
514225,1,40,45,906.66,1.66,1,106.9
514225,2,44,56,665.66,1.22,1,1.3
514225,2,44,52,722.03,1.32,1,29.3
514225,2,44,48,733.32,1.34,1,19.9
514225,2,44,51,656.46,1.2,1,20.8
514225,2,44,39,895.33,1.64,1,2.3
514225,2,44,35,894.95,1.63,1,1.9
514225,2,44,30,640.21,1.17,1,1
514225,2,44,33,812.31,1.48,1,26.9
514225,2,44,34,753.75,1.38,1,1.4
514225,2,44,28,625.93,1.14,1,4.6
514230,2,44,37,1020.87,1.87,1,0.9
514225,2,24,17,494.62,0.9,1,5.9
514225,2,44,39,1061.82,1.94,1,20.9
514225,2,44,24,1037.84,1.9,1,16.1
514225,2,44,45,700,1.28,1,17.8
514225,2,44,43,904.4,1.65,1,4.9
514225,2,44,29,671.94,1.23,1,72.9
514225,2,44,50,781.8,1.42,1,57.9
514225,2,44,49,794.53,1.45,1,0.5
514225,2,44,27,778.16,1.42,1,0.2
514225,2,44,26,663.6,1.21,1,1.6
514225,2,44,24,835.12,1.53,1,0.7
514225,2,44,55,833.06,1.52,1,42.8
514225,2,44,52,778.86,1.42,1,6.5
514225,2,44,32,602.41,1.1,1,0.6
514225,2,44,24,518.75,0.94,1,4.1
514225,2,44,18,920.86,1.68,1,2.8
514225,2,44,18,667.35,1.22,1,1.6
514225,2,44,20,676.49,1.23,1,4.3
514225,2,44,57,816.51,1.49,1,78.4
514225,2,44,52,518,0.94,1,1.1
514225,2,44,35,469.47,0.85,1,3.9
514225,2,44,42,556.14,1.01,1,1.4
514225,2,44,35,575.51,1.04,1,8.4
514225,2,44,19,519.6,0.95,1,0.8
514225,2,44,35,669.88,1.22,1,3.1
514225,2,44,50,698.33,1.27,1,73.9
514225,2,44,41,980.6,1.79,1,3.5
514225,2,44,29,1054.41,1.92,1,1.7
514225,2,44,19,830.56,1.52,1,0.8
514225,2,44,21,889.86,1.62,1,4.9
514225,2,44,19,741.56,1.35,1,3.6
514225,2,44,37,939.88,1.72,1,4.9
514225,2,44,61,843.12,1.54,1,4.8
514225,2,44,26,888.63,1.62,1,42.9
514225,2,44,28,572,1.04,1,0.5
514225,2,44,38,616.06,1.12,1,1.2
514225,2,44,32,895.14,1.63,1,2.8
514225,2,44,29,602.41,1.1,1,0.6
514225,2,44,49,572,1.04,1,0.5
514225,2,44,23,571.99,1.04,1,1.2
514225,2,44,22,670.26,1.22,1,5.3
514225,2,44,32,572,1.04,1,0.6
514225,2,44,19,754,1.38,1,0.7
514225,2,44,42,1075.76,1.96,1,5.6
514225,2,44,25,800.14,1.46,1,0.7
514225,2,44,28,666.02,1.21,1,1.6
514225,2,44,26,900.79,1.65,1,1.7
514225,2,44,24,913.6,1.67,1,1.9
514225,2,44,34,893.43,1.63,1,1.9
514225,2,44,34,804.16,1.47,1,1.7
514225,2,44,23,657.79,1.2,1,4.6
514225,2,44,20,1026.88,1.88,1,0.9
514225,2,44,22,664.1,1.21,1,3.5
514225,2,44,20,1117.81,2.05,1,1.5
514225,2,44,21,834.92,1.52,1,1.2
514225,2,44,18,778.17,1.42,1,2.8
514225,2,44,30,786.81,1.44,1,9.9
514225,2,44,42,778.18,1.42,1,3.5
514225,2,44,28,929.25,1.69,1,5.8
514225,2,44,21,593.91,1.08,1,4.3
514225,2,44,21,175.99,0.32,1,0.8
514225,2,44,22,572,1.04,1,0.9
514225,2,44,33,726.68,1.33,1,41.9
514225,2,44,19,903.07,1.65,1,5.8
514225,2,44,59,761.47,1.39,1,50.9
514225,2,44,20,811.75,1.48,1,4.9
514225,2,44,54,973.12,1.78,1,23.8
514225,2,44,56,572.28,1.05,1,13.9
514225,2,44,45,1264.95,2.31,1,103.9
514215,2,44,31,572,1.04,1,21.2
514215,2,44,59,572,1.04,1,18.9
514225,2,44,33,2663.5,4.88,1,1.9
514225,2,44,41,1025.74,1.87,1,9.5
514225,2,44,36,1392.1,2.54,1,1.9
514225,2,44,39,1233.57,2.26,1,4.5
514225,2,44,45,1137.35,2.08,1,24.3
514225,2,44,38,1127.71,2.06,1,25.9
514225,2,44,47,723.27,1.32,1,4.2
514225,2,44,59,786.69,1.43,1,19.6
514225,2,44,41,750,1.37,1,2.9
514225,2,44,36,669.52,1.22,1,9.9
514225,2,44,52,669.52,1.22,1,9.9
514225,2,44,41,673.91,1.23,1,8.9
514225,2,44,52,617.33,1.12,1,9.9
514225,2,44,41,1828.33,3.35,1,16.4
514205,2,24,30,689.9,1.26,1,30.9
514225,2,44,54,646.33,1.18,1,19.1
514225,2,44,27,648.11,1.18,1,19.1
514225,2,44,45,592.35,1.08,1,11.6
514225,2,44,50,644.73,1.17,1,19.1
514225,2,44,45,584.04,1.06,1,13.2
514225,2,44,26,618.66,1.13,1,0.9
514225,2,40,45,573,1.05,1,3.3
514205,2,44,57,853.68,1.56,1,14.8
514225,2,44,57,760.75,1.39,1,1.4
514215,2,44,57,1026.81,1.88,1,11.2
514225,2,37,48,638.58,1.16,1,19.9
514225,2,44,64,2217.8,4.06,1,18.9
514225,2,44,41,613.12,1.12,1,8.9
514225,2,44,26,544.16,1,1,16.9
