CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
214105,9,44,41,3015.82,5.54,1,70.9
214105,9,44,41,2981.37,5.46,1,70.9
214105,9,44,41,2859.48,5.24,1,70.9
214105,9,30,30,2410.55,4.42,1,42.4
214105,9,36,33,2410.55,4.42,1,42.9
214105,9,44,55,4516.39,8.29,1,35.4
214105,9,44,48,7738.23,14.19,1,8.9
214105,9,44,45,6565.54,12.06,1,81.5
214105,9,44,43,7550.96,13.87,1,35.9
214105,9,44,36,3677.89,6.74,1,7.9
214105,9,44,52,3831.4,7.06,1,41.9
214105,9,44,52,4376.04,8.02,1,41.9
214105,9,44,52,4373.56,8.02,1,41.9
214105,9,44,26,3075,5.63,1,3.6
214125,9,44,25,2700,4.95,1,2.9
214105,9,44,47,4601.25,8.43,1,7.9
214105,9,44,60,10796.9,19.84,1,411.9
214105,9,42,34,3806.83,6.99,1,105.9
214105,9,44,50,2137.59,3.91,1,46.6
214105,9,44,43,5239.35,9.62,1,32.8
214125,9,35,28,4276.89,7.85,1,47
214125,9,35,31,4037.2,7.41,1,77.4
214105,9,44,56,4649.97,8.53,1,311.9
214110,9,44,29,2242.45,4.11,1,2.3
214105,9,36,50,2253.84,4.12,1,3.9
214105,9,44,29,2027.32,3.71,1,10.9
214120,9,40,40,3234.68,5.94,1,114.9
214105,9,30,26,3568.05,6.55,1,35.9
214125,9,40,37,3035.26,5.57,1,69.3
214105,9,36,56,5544.16,10.18,1,478.9
214105,9,30,27,3485.52,6.4,1,11.6
214105,9,44,40,3660.77,6.71,1,9.9
214105,9,40,47,7453.32,13.69,1,120.4
214105,9,30,46,1820.04,3.33,1,23.7
214105,9,30,51,11418.52,20.98,1,286.4
214105,9,40,55,13314.48,24.46,1,286
214105,9,33,54,5432.42,9.97,1,289.9
214105,9,36,45,5482.64,10.06,1,116.6
214125,9,40,39,5468.69,10.04,1,48.6
214105,9,20,32,1210.46,2.22,1,42.9
214125,9,40,30,5478.81,10.06,1,48.6
214105,9,30,55,1979.12,3.63,1,296.9
214105,9,35,59,3754.27,6.89,1,269.9
214105,9,35,35,2905.95,5.33,1,45.8
214125,9,40,43,6062.82,11.13,1,89.4
214105,9,40,52,4689.46,8.61,1,92.9
214105,9,40,55,3141.92,5.76,1,363
214105,9,40,40,4065.01,7.45,1,79
214105,9,40,31,5963.07,10.95,1,115
214125,9,44,47,5198.11,9.55,1,296.3
214105,9,44,33,5410.51,9.93,1,82.5
214105,9,16,55,2019.32,3.7,1,273.9
214125,9,44,38,2619.01,4.8,1,1.9
214105,9,44,58,13063.87,23.99,1,272.9
214105,9,40,34,3591.67,6.59,1,13.2
214105,9,44,31,4925.01,9.03,1,3.9
214105,9,40,47,12117.18,22.26,1,243.9
214125,9,30,45,4202.1,7.71,1,329.9
214105,9,44,24,2318.67,4.25,1,22.9
214125,9,40,32,1810.1,3.32,1,2.8
214125,9,40,36,2551.23,4.68,1,73.7
214105,9,40,32,1456.83,2.66,1,9.9
214125,9,40,31,4457.89,8.18,1,31.8
214105,9,30,38,3270,6,1,2.9
214105,9,30,34,2109.43,3.87,1,16.2
214105,9,44,34,4975.1,9.12,1,2.9
214105,9,44,64,7387.11,13.57,1,306.4
214105,9,44,56,6604.72,12.13,1,331.7
214105,9,44,44,3271.98,6,1,36.9
214105,9,30,45,3286.8,6.05,1,90.7
214105,9,44,49,7248.21,13.31,1,296.7
214105,9,44,53,4430.66,8.12,1,211.7
214105,9,44,33,3032.49,5.56,1,46.6
214105,9,20,31,3470.42,6.37,1,75.7
214105,9,44,69,3458.28,6.35,1,138.6
214105,9,44,28,2786.49,5.11,1,16.7
214105,9,44,47,5374.39,9.87,1,199.4
214105,9,44,47,2230.31,4.09,1,210.5
214105,9,44,36,3058.44,5.63,1,52.8
214105,9,30,45,3467.23,6.36,1,90.7
214105,9,44,48,5424.59,10.01,1,251.5
214105,9,44,52,6751.37,12.38,1,338.9
214105,9,30,57,13854.81,25.46,1,328.9
214105,9,30,53,9908.75,18.2,1,342.5
214105,9,30,53,13032.04,23.94,1,323.6
214105,9,40,47,19497.44,35.83,1,352.9
214105,9,40,52,11626.64,21.36,1,356.9
214105,9,40,61,22844.95,41.98,1,456.1
214105,9,40,38,2408.46,4.41,1,4.2
214105,9,40,32,2249.85,4.12,1,14.3
214105,9,28,34,5761.87,10.58,1,97.9
214105,9,44,25,4959.75,9.11,1,33.4
214105,9,44,35,5684.9,10.44,1,43.8
214105,9,36,44,3394.66,6.23,1,201.7
214105,9,35,57,10821.03,19.87,1,332.6
214125,9,40,49,7971.58,14.64,1,317.8
214125,9,40,53,8542.18,15.69,1,299.8
214125,9,40,67,6661.43,12.33,1,416.4
214105,9,44,51,4476.06,8.22,1,27.9
214105,9,44,31,3062.42,5.62,1,10.5
214110,9,44,30,2903.37,5.33,1,33.9
214105,9,44,50,5139.49,9.44,1,19.9
214115,9,44,27,3151.85,5.78,1,33.4
214105,9,44,37,2035.35,3.73,1,17.1
214105,9,44,28,3270,6,1,8.9
214105,9,44,29,3270,6,1,6.9
214105,9,22,25,1579.23,2.9,1,15.9
214130,9,20,39,3198.71,5.87,1,44.9
214105,9,44,48,1078.92,1.97,1,24.9
214105,9,22,43,2453.44,4.5,1,14.9
214125,9,44,30,796.02,1.45,1,11.6
214105,9,30,24,3240,5.94,1,0.9
214105,9,44,47,1518.37,2.77,1,7.9
214105,9,40,32,2249.85,4.12,1,18.5
214105,9,40,58,6010.63,11.04,1,17.3
214105,9,44,36,9660.76,17.74,1,41.9
214105,9,44,41,7025.35,12.9,1,41.9
214105,9,44,32,5662.16,10.39,1,41.9
214105,9,44,32,5305.68,9.74,1,68.8
214105,9,44,36,9000,16.51,1,0.9
214105,9,44,24,1781.25,3.26,1,10.9
214105,9,30,41,7603.74,13.96,1,18.6
214105,9,30,54,10247.4,18.82,1,140.8
214105,9,30,31,8751.49,16.08,1,53.9
214105,9,30,50,8510.12,15.63,1,50.9
214105,9,30,41,9875.07,18.14,1,96.9
214105,9,30,53,12387.44,22.75,1,96.2
214105,9,30,47,10432.11,19.16,1,140.8
214105,9,30,60,8682.72,15.95,1,50.9
214105,9,30,36,8517.09,15.65,1,54.6
214105,9,30,34,8851.31,16.26,1,50.9
214105,9,30,53,14311.56,26.29,1,384.1
214105,9,30,54,13870.21,25.48,1,351.6
214105,9,30,52,13884.16,25.51,1,330.8
214105,9,30,45,9870.2,18.13,1,272.7
214125,9,24,32,3165.51,5.81,1,16.9
214105,9,43,35,3595.69,6.59,1,6.8
214105,9,43,32,1967.62,3.61,1,10.4
214105,9,30,56,1800,3.3,1,6.9
214105,9,30,38,4379.9,8.03,1,8.7
214110,9,44,20,845.9,1.55,1,16.9
214105,9,44,25,4512.63,8.28,1,27.7
214105,9,30,32,3273.84,6.01,1,22.6
214125,9,44,56,3269.78,6,1,80.3
214125,9,44,26,1085.33,1.98,1,4.7
214125,9,22,49,1934.41,3.54,1,99.6
214105,9,44,30,1561.09,2.86,1,21.9
214105,9,20,43,3240,5.95,1,21.5
214105,9,44,54,2180,4,1,3.9
214105,9,42,48,1242.88,2.27,1,46.4
214105,9,44,29,742,1.36,1,3.9
214105,9,44,40,5817.12,10.68,1,148.4
214105,9,44,35,4884.39,8.96,1,148.2
214105,9,44,35,1506.93,2.76,1,15.9
214105,9,22,56,3055.77,5.6,1,69.9
214105,9,36,29,3270,6,1,2.9
214105,9,44,28,3270,6,1,0.9
