CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
241040,4,44,32,1703.67,3.12,1,116.9
241040,7,44,29,1266.66,2.32,1,14.9
241040,7,44,28,1731.99,3.17,1,95.9
241040,7,44,22,1832.09,3.36,1,67.7
241005,8,44,28,1378.83,2.52,1,62.9
241005,9,44,31,1880.38,3.45,1,18.9
241005,9,10,28,1589.96,2.91,1,11.9
241040,9,40,30,4481.38,8.21,1,7.4
241040,9,40,35,4312.67,7.9,1,8.5
241005,9,44,37,1321.78,2.42,1,46.8
241040,9,40,49,4486.24,8.22,1,6.5
241040,9,40,63,4038.39,7.4,1,8.6
241040,9,40,40,4429.8,8.12,1,7.6
241040,9,44,22,1629.2,2.98,1,24.2
241040,9,44,42,1953.69,3.58,1,25.2
241040,9,44,37,1973.83,3.62,1,25.3
241040,9,44,32,1800.74,3.3,1,51.9
241040,9,40,36,3976.48,7.29,1,8.8
241040,9,40,41,4673.92,8.56,1,6.4
241040,9,40,50,4965.76,9.1,1,7.8
241040,9,44,50,2123.29,3.89,1,22.5
241040,9,40,35,4409.12,8.08,1,7.7
241040,9,40,24,4050.11,7.42,1,7.9
241040,9,40,28,3992.75,7.32,1,8.7
241040,9,40,37,4397.18,8.06,1,7.5
241040,9,40,39,4057,7.44,1,2.7
241040,9,40,28,4011.55,7.35,1,5.3
241040,9,40,36,4023.6,7.37,1,7.6
241040,9,40,57,4486.24,8.22,1,6.5
241040,9,44,48,1575,2.88,1,5.9
241040,9,40,27,4360.12,7.99,1,7.1
241005,9,40,34,2427.56,4.45,1,14.6
241040,9,40,31,4014.57,7.35,1,7.9
241005,9,44,31,1238.51,2.27,1,65.9
241005,9,23,44,3697.15,6.78,1,27.9
241040,9,44,25,4523.41,8.3,1,40.6
241040,9,44,29,7423.25,13.63,1,12.9
241040,9,44,31,3089.68,5.67,1,12.9
241005,9,44,31,1085.69,1.98,1,14
241005,9,44,32,1500,2.75,1,1
241005,9,44,25,1224.89,2.24,1,8
241005,9,22,33,1144.9,2.1,1,8.9
241005,9,22,30,1144.9,2.1,1,8.9
241005,9,44,26,800,1.46,1,8.9
241040,9,12,34,771.47,1.41,1,22.9
